"Source:","X:\TA\nanoLogger\nanoLogger\nanoLogger.kicad_sch"
"Date:","19/04/2022 01:20:17"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","221"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Beschreibung","Hersteller","Hersteller-Nr.","Lieferant","Lieferant-Nr."
"","","C1","10nF","nanoLogger:Capacitor_1206","nanoLogger:Capacitor_1206","~","10nF-1%-1206-C0G-630V","Kemet","C1206C103FBGACAUTO","Mouser","80-C1206C103FBGAUTO"
"","","C2","10µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C3","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C4","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C5","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C6","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C7","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C8","10µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C9","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C10","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C11","22pF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","22pF-5%-0402-C0G-50V","Kemet","C0402C220J5GACTU","Mouser","80-C0402C220J5G"
"","","C12","10µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C13","2.2µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","2.2µF-10%-0603-X5R-10V","Kemet","C0603C225K8PACTU","Mouser","80-C0603C225K8P"
"","","C14","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C15","2.2µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","2.2µF-10%-0603-X5R-10V","Kemet","C0603C225K8PACTU","Mouser","80-C0603C225K8P"
"","","C16","1µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","1µF-10%-0603-X7R-25V","Kemet","C0603C105K3RACTU","Mouser","80-C0603C105K3R"
"","","C17","1µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","1µF-10%-0603-X7R-25V","Kemet","C0603C105K3RACTU","Mouser","80-C0603C105K3R"
"","","C18","1µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","1µF-10%-0603-X7R-25V","Kemet","C0603C105K3RACTU","Mouser","80-C0603C105K3R"
"","","C19","10µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C20","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C21","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C22","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C23","10µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C24","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C25","4.7µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","4.7µF-20%-0603-X5R-10V","Kemet","C0603C475M8PACTU","Mouser","80-C0603C475M8P"
"","","C26","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C27","10µF","nanoLogger:Capacitor_0603","nanoLogger:Capacitor_0603","~","10µF-20%-0603-X5R-10V","Kemet","C0603C106M8PACTU","Mouser","80-C0603C106M8PACTU"
"","","C28","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C29","10nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","10nF-10%-0402-X7R-50V","Kemet","C0402C103K5REC7411","Mouser","80-C0402C103K5RECLR"
"","","C30","8pF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","8pF-0.25pF-0402-C0G-50V","Kemet","CBR04C809C5GAC","Mouser","80-CBR04C809C5G"
"","","C31","8pF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","8pF-0.25pF-0402-C0G-50V","Kemet","CBR04C809C5GAC","Mouser","80-CBR04C809C5G"
"","","C32","12pF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","12pF-10%-0402-C0G-25V","Kemet","C0402C120K3GACTU","Mouser","80-C0402C120K3GACTU"
"","","C33","12pF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","12pF-10%-0402-C0G-25V","Kemet","C0402C120K3GACTU","Mouser","80-C0402C120K3GACTU"
"","","C34","100pF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100pF-5%-0402-C0G-50V","Kemet","C0402C101J5GACTU","Mouser","80-C0402C101J5G"
"","","C35","10nF","nanoLogger:Capacitor_1206","nanoLogger:Capacitor_1206","~","10nF-1%-1206-C0G-630V","Kemet","C1206C103FBGACAUTO","Mouser","80-C1206C103FBGAUTO"
"","","C36","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C37","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C38","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C39","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C40","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
"","","C41","100nF","nanoLogger:Capacitor_0402","nanoLogger:Capacitor_0402","~","100nF-20%-0402-X7R-25V","Kemet","C0402C104M3RACTU","Mouser","80-C0402C104M3R"
